Country,Happiness Rank,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Perceptions of Corruption,Generosity
Switzerland,1,7.587,1.397,1.35,0.941,0.666,0.42,0.297
Iceland,2,7.561,1.302,1.402,0.948,0.629,0.141,0.436
Denmark,3,7.527,1.325,1.361,0.875,0.649,0.484,0.341
Norway,4,7.522,1.459,1.331,0.885,0.67,0.365,0.347
Canada,5,7.427,1.326,1.323,0.906,0.633,0.33,0.458
Finland,6,7.406,1.29,1.318,0.889,0.642,0.414,0.234
Netherlands,7,7.378,1.329,1.28,0.893,0.616,0.318,0.476
Sweden,8,7.364,1.332,1.289,0.911,0.66,0.438,0.363
New Zealand,9,7.286,1.25,1.32,0.908,0.639,0.429,0.475
Australia,10,7.284,1.334,1.309,0.932,0.651,0.356,0.436
Israel,11,7.278,1.229,1.224,0.914,0.413,0.078,0.332
Costa Rica,12,7.226,0.956,1.238,0.86,0.634,0.106,0.255
Austria,13,7.2,1.337,1.297,0.89,0.624,0.187,0.331
Mexico,14,7.187,1.021,0.915,0.814,0.482,0.213,0.141
United States,15,7.119,1.395,1.247,0.862,0.546,0.159,0.401
Brazil,16,6.983,0.981,1.233,0.697,0.49,0.175,0.146
Luxembourg,17,6.946,1.564,1.22,0.919,0.616,0.378,0.28
Ireland,18,6.94,1.336,1.369,0.895,0.618,0.287,0.459
Belgium,19,6.937,1.308,1.286,0.897,0.584,0.225,0.222
United Arab Emirates,20,6.901,1.427,1.126,0.809,0.642,0.386,0.264
United Kingdom,21,6.867,1.266,1.285,0.909,0.596,0.321,0.519
Oman,22,6.853,1.36,1.082,0.763,0.633,0.325,0.215
Venezuela,23,6.81,1.044,1.256,0.721,0.429,0.111,0.058
Singapore,24,6.798,1.522,1.02,1.025,0.543,0.492,0.311
Panama,25,6.786,1.064,1.198,0.797,0.542,0.093,0.244
Germany,26,6.75,1.328,1.299,0.892,0.615,0.218,0.282
Chile,27,6.67,1.107,1.124,0.859,0.441,0.129,0.334
Qatar,28,6.611,1.69,1.079,0.797,0.64,0.522,0.326
France,29,6.575,1.278,1.26,0.946,0.55,0.206,0.123
Argentina,30,6.574,1.054,1.248,0.787,0.45,0.085,0.115
Czech Republic,31,6.505,1.179,1.206,0.845,0.464,0.027,0.107
Uruguay,32,6.485,1.062,1.209,0.812,0.604,0.246,0.232
Colombia,33,6.477,0.919,1.24,0.691,0.535,0.051,0.184
Thailand,34,6.455,0.967,1.265,0.738,0.557,0.032,0.576
Saudi Arabia,35,6.411,1.395,1.084,0.72,0.31,0.325,0.137
Spain,36,6.329,1.23,1.314,0.956,0.46,0.064,0.182
Malta,37,6.302,1.207,1.302,0.887,0.604,0.136,0.518
Taiwan,38,6.298,1.291,1.076,0.875,0.397,0.081,0.254
Kuwait,39,6.295,1.554,1.166,0.725,0.555,0.256,0.162
Suriname,40,6.269,0.995,0.972,0.608,0.597,0.136,0.17
Trinidad and Tobago,41,6.168,1.212,1.184,0.615,0.559,0.011,0.318
El Salvador,42,6.13,0.765,1.025,0.677,0.404,0.118,0.107
Guatemala,43,6.123,0.746,1.044,0.644,0.577,0.095,0.275
Uzbekistan,44,6.003,0.632,1.34,0.598,0.658,0.308,0.228
Slovakia,45,5.995,1.169,1.27,0.789,0.318,0.034,0.169
Japan,46,5.987,1.271,1.257,0.991,0.496,0.181,0.107
South Korea,47,5.984,1.245,0.958,0.965,0.332,0.079,0.186
Ecuador,48,5.975,0.864,0.999,0.791,0.486,0.181,0.115
Bahrain,49,5.96,1.324,1.216,0.747,0.455,0.306,0.174
Italy,50,5.948,1.251,1.198,0.954,0.262,0.029,0.228
Bolivia,51,5.89,0.681,0.978,0.539,0.574,0.088,0.205
Moldova,52,5.889,0.594,1.015,0.618,0.328,0.016,0.21
Paraguay,53,5.878,0.76,1.305,0.661,0.539,0.082,0.342
Kazakhstan,54,5.855,1.123,1.122,0.644,0.516,0.085,0.118
Slovenia,55,5.848,1.185,1.274,0.873,0.609,0.038,0.253
Lithuania,56,5.833,1.147,1.257,0.731,0.213,0.01,0.026
Nicaragua,57,5.828,0.593,1.142,0.743,0.555,0.193,0.278
Peru,58,5.824,0.9,0.975,0.73,0.415,0.06,0.15
Belarus,59,5.813,1.032,1.233,0.736,0.379,0.191,0.11
Poland,60,5.791,1.126,1.279,0.779,0.531,0.042,0.168
Malaysia,61,5.77,1.125,1.07,0.724,0.53,0.105,0.331
Croatia,62,5.759,1.083,0.796,0.788,0.259,0.024,0.054
Libya,63,5.754,1.131,1.119,0.704,0.417,0.11,0.183
Russia,64,5.716,1.138,1.236,0.669,0.367,0.03,0.002
Jamaica,65,5.709,0.81,1.151,0.687,0.504,0.023,0.212
North Cyprus,66,5.695,1.208,1.07,0.924,0.49,0.143,0.262
Cyprus,67,5.689,1.208,0.893,0.924,0.407,0.061,0.306
Algeria,68,5.605,0.939,1.078,0.618,0.286,0.174,0.078
Kosovo,69,5.589,0.801,0.812,0.631,0.247,0.047,0.283
Turkmenistan,70,5.548,0.958,1.227,0.539,0.476,0.308,0.17
Mauritius,71,5.477,1.008,0.985,0.71,0.561,0.075,0.377
Hong Kong,72,5.474,1.386,1.058,1.013,0.596,0.371,0.395
Estonia,73,5.429,1.152,1.228,0.774,0.449,0.152,0.087
Indonesia,74,5.399,0.828,1.087,0.638,0.466,0.0,0.515
Vietnam,75,5.36,0.632,0.912,0.747,0.594,0.104,0.169
Turkey,76,5.332,1.061,0.946,0.732,0.228,0.157,0.123
Kyrgyzstan,77,5.286,0.474,1.151,0.651,0.435,0.042,0.3
Nigeria,78,5.268,0.654,0.904,0.16,0.343,0.04,0.272
Bhutan,79,5.253,0.77,1.104,0.574,0.532,0.154,0.48
Azerbaijan,80,5.212,1.024,0.938,0.64,0.37,0.161,0.078
Pakistan,81,5.194,0.595,0.414,0.515,0.121,0.105,0.337
Jordan,82,5.192,0.902,1.054,0.696,0.407,0.143,0.111
Montenegro,82,5.192,0.974,0.906,0.725,0.183,0.143,0.161
China,84,5.14,0.89,0.947,0.817,0.517,0.028,0.082
Zambia,85,5.129,0.47,0.916,0.299,0.488,0.125,0.196
Romania,86,5.124,1.043,0.886,0.769,0.351,0.006,0.137
Serbia,87,5.123,0.921,1.01,0.748,0.201,0.026,0.192
Portugal,88,5.102,1.16,1.139,0.875,0.515,0.011,0.137
Latvia,89,5.098,1.113,1.096,0.724,0.297,0.063,0.182
Philippines,90,5.073,0.705,1.035,0.581,0.625,0.123,0.25
Somaliland region,91,5.057,0.188,0.952,0.439,0.466,0.399,0.503
Morocco,92,5.013,0.735,0.641,0.61,0.417,0.085,0.072
Macedonia,93,5.007,0.919,1.002,0.735,0.335,0.053,0.224
Mozambique,94,4.971,0.083,1.026,0.091,0.34,0.156,0.223
Albania,95,4.959,0.879,0.804,0.813,0.357,0.064,0.143
Bosnia and Herzegovina,96,4.949,0.832,0.919,0.791,0.092,0.002,0.248
Lesotho,97,4.898,0.375,1.041,0.076,0.318,0.125,0.164
Dominican Republic,98,4.885,0.895,1.172,0.668,0.577,0.142,0.217
Laos,99,4.876,0.591,0.738,0.549,0.596,0.242,0.422
Mongolia,100,4.874,0.828,1.301,0.603,0.436,0.027,0.332
Swaziland,101,4.867,0.712,1.073,0.076,0.307,0.031,0.183
Greece,102,4.857,1.154,0.929,0.882,0.077,0.014,0.0
Lebanon,103,4.839,1.026,0.8,0.839,0.339,0.046,0.219
Hungary,104,4.8,1.121,1.202,0.759,0.321,0.028,0.128
Honduras,105,4.788,0.595,0.953,0.695,0.401,0.068,0.23
Tajikistan,106,4.786,0.39,0.856,0.574,0.472,0.151,0.23
Tunisia,107,4.739,0.881,0.604,0.738,0.263,0.064,0.064
Palestinian Territories,108,4.715,0.599,0.926,0.66,0.245,0.129,0.113
Bangladesh,109,4.694,0.398,0.431,0.602,0.408,0.126,0.212
Iran,110,4.686,1.009,0.544,0.698,0.3,0.059,0.381
Ukraine,111,4.681,0.799,1.203,0.674,0.251,0.03,0.153
Iraq,112,4.677,0.985,0.819,0.602,0.0,0.138,0.179
South Africa,113,4.642,0.92,1.185,0.277,0.332,0.089,0.12
Ghana,114,4.633,0.546,0.68,0.401,0.423,0.044,0.231
Zimbabwe,115,4.61,0.271,1.033,0.335,0.259,0.081,0.19
Liberia,116,4.571,0.071,0.79,0.342,0.285,0.062,0.244
India,117,4.565,0.645,0.382,0.515,0.398,0.085,0.265
Sudan,118,4.55,0.521,1.014,0.369,0.101,0.147,0.191
Haiti,119,4.518,0.267,0.743,0.388,0.244,0.172,0.462
Congo (Kinshasa),120,4.517,0.0,1.001,0.098,0.226,0.076,0.248
Nepal,121,4.514,0.36,0.864,0.569,0.383,0.059,0.323
Ethiopia,122,4.512,0.191,0.604,0.441,0.434,0.15,0.243
Sierra Leone,123,4.507,0.33,0.956,0.0,0.408,0.088,0.215
Mauritania,124,4.436,0.454,0.869,0.359,0.242,0.175,0.219
Kenya,125,4.419,0.365,0.999,0.414,0.422,0.058,0.375
Djibouti,126,4.369,0.44,0.592,0.363,0.461,0.281,0.181
Armenia,127,4.35,0.768,0.777,0.73,0.198,0.039,0.079
Botswana,128,4.332,0.994,1.105,0.048,0.495,0.125,0.105
Myanmar,129,4.307,0.271,0.709,0.482,0.44,0.19,0.796
Georgia,130,4.297,0.742,0.386,0.729,0.406,0.383,0.055
Malawi,131,4.292,0.016,0.411,0.226,0.431,0.07,0.331
Sri Lanka,132,4.271,0.835,1.019,0.708,0.537,0.092,0.408
Cameroon,133,4.252,0.422,0.888,0.234,0.493,0.058,0.206
Bulgaria,134,4.218,1.012,1.106,0.766,0.306,0.009,0.119
Egypt,135,4.194,0.882,0.747,0.617,0.173,0.063,0.113
Yemen,136,4.077,0.546,0.681,0.401,0.356,0.079,0.091
Angola,137,4.033,0.758,0.86,0.167,0.104,0.071,0.123
Mali,138,3.995,0.261,1.035,0.206,0.389,0.124,0.188
Congo (Brazzaville),139,3.989,0.679,0.663,0.311,0.415,0.117,0.124
Comoros,140,3.956,0.239,0.793,0.363,0.229,0.199,0.174
Uganda,141,3.931,0.211,1.133,0.339,0.457,0.073,0.291
Senegal,142,3.904,0.365,0.976,0.435,0.368,0.107,0.208
Gabon,143,3.896,1.06,0.905,0.434,0.319,0.111,0.068
Niger,144,3.845,0.069,0.773,0.297,0.477,0.156,0.194
Cambodia,145,3.819,0.46,0.627,0.611,0.662,0.072,0.404
Tanzania,146,3.781,0.285,1.003,0.382,0.329,0.057,0.344
Madagascar,147,3.681,0.208,0.668,0.467,0.192,0.081,0.213
Central African Republic,148,3.678,0.078,0.0,0.067,0.489,0.083,0.238
Chad,149,3.667,0.342,0.761,0.15,0.235,0.053,0.184
Guinea,150,3.656,0.174,0.465,0.24,0.377,0.121,0.287
Ivory Coast,151,3.655,0.465,0.771,0.152,0.469,0.179,0.202
Burkina Faso,152,3.587,0.258,0.852,0.271,0.395,0.128,0.217
Afghanistan,153,3.575,0.32,0.303,0.303,0.234,0.097,0.365
Rwanda,154,3.465,0.222,0.774,0.429,0.592,0.552,0.226
Benin,155,3.34,0.287,0.354,0.319,0.484,0.08,0.183
Syria,156,3.006,0.663,0.475,0.722,0.157,0.189,0.472
Burundi,157,2.905,0.015,0.416,0.224,0.118,0.101,0.197
Togo,158,2.839,0.209,0.14,0.284,0.365,0.107,0.167
Denmark,1,7.526,1.442,1.164,0.795,0.579,0.445,0.362
Switzerland,2,7.509,1.527,1.145,0.863,0.586,0.412,0.281
Iceland,3,7.501,1.427,1.183,0.867,0.566,0.15,0.477
Norway,4,7.498,1.577,1.127,0.796,0.596,0.358,0.379
Finland,5,7.413,1.406,1.135,0.811,0.571,0.41,0.255
Canada,6,7.404,1.44,1.096,0.828,0.574,0.313,0.448
Netherlands,7,7.339,1.465,1.029,0.812,0.552,0.299,0.474
New Zealand,8,7.334,1.361,1.173,0.831,0.581,0.419,0.494
Australia,9,7.313,1.444,1.105,0.851,0.568,0.323,0.474
Sweden,10,7.291,1.452,1.088,0.831,0.582,0.409,0.383
Israel,11,7.267,1.338,0.995,0.849,0.364,0.087,0.323
Austria,12,7.119,1.45,1.084,0.806,0.544,0.213,0.329
United States,13,7.104,1.508,1.048,0.779,0.482,0.149,0.411
Costa Rica,14,7.087,1.069,1.022,0.761,0.552,0.105,0.226
Puerto Rico,15,7.039,1.359,1.081,0.778,0.468,0.123,0.222
Germany,16,6.994,1.448,1.098,0.815,0.535,0.286,0.305
Brazil,17,6.952,1.088,1.039,0.614,0.404,0.142,0.158
Belgium,18,6.929,1.425,1.052,0.82,0.514,0.262,0.242
Ireland,19,6.907,1.483,1.162,0.815,0.54,0.298,0.45
Luxembourg,20,6.871,1.698,1.04,0.845,0.549,0.353,0.276
Mexico,21,6.778,1.115,0.715,0.711,0.377,0.184,0.117
Singapore,22,6.739,1.646,0.868,0.947,0.488,0.47,0.327
United Kingdom,23,6.725,1.403,1.087,0.81,0.5,0.274,0.502
Chile,24,6.705,1.217,0.906,0.819,0.378,0.115,0.316
Panama,25,6.701,1.183,0.989,0.708,0.489,0.084,0.242
Argentina,26,6.65,1.151,1.066,0.697,0.423,0.073,0.11
Czech Republic,27,6.596,1.309,1.008,0.764,0.414,0.04,0.099
United Arab Emirates,28,6.573,1.574,0.871,0.73,0.562,0.356,0.266
Uruguay,29,6.545,1.182,1.031,0.722,0.544,0.214,0.181
Malta,30,6.488,1.308,1.099,0.803,0.55,0.176,0.562
Colombia,31,6.481,1.03,1.022,0.597,0.447,0.054,0.156
France,32,6.478,1.395,1.005,0.838,0.466,0.178,0.122
Thailand,33,6.474,1.089,1.045,0.649,0.496,0.028,0.587
Saudi Arabia,34,6.379,1.49,0.848,0.593,0.379,0.3,0.155
Taiwan,34,6.379,1.397,0.926,0.796,0.324,0.066,0.255
Qatar,36,6.375,1.824,0.88,0.717,0.567,0.48,0.324
Spain,37,6.361,1.343,1.129,0.879,0.375,0.061,0.177
Algeria,38,6.355,1.053,0.833,0.618,0.21,0.162,0.07
Guatemala,39,6.324,0.835,0.871,0.54,0.504,0.087,0.288
Suriname,40,6.269,1.097,0.779,0.509,0.522,0.127,0.167
Kuwait,41,6.239,1.617,0.878,0.636,0.432,0.237,0.16
Bahrain,42,6.218,1.44,0.944,0.657,0.474,0.258,0.171
Trinidad and Tobago,43,6.168,1.326,0.986,0.526,0.485,0.012,0.319
Venezuela,44,6.084,1.134,1.033,0.619,0.198,0.083,0.042
Slovakia,45,6.078,1.28,1.083,0.704,0.234,0.029,0.138
El Salvador,46,6.068,0.874,0.81,0.596,0.373,0.106,0.089
Malaysia,47,6.005,1.251,0.88,0.624,0.39,0.091,0.415
Nicaragua,48,5.992,0.694,0.895,0.652,0.466,0.163,0.298
Uzbekistan,49,5.987,0.736,1.168,0.502,0.608,0.283,0.343
Italy,50,5.977,1.355,1.042,0.851,0.188,0.026,0.167
Ecuador,51,5.976,0.973,0.86,0.686,0.403,0.18,0.101
Belize,52,5.956,0.876,0.687,0.456,0.512,0.108,0.237
Japan,53,5.921,1.38,1.061,0.915,0.468,0.19,0.102
Kazakhstan,54,5.919,1.229,0.955,0.574,0.405,0.111,0.15
Moldova,55,5.897,0.692,0.831,0.523,0.252,0.019,0.2
Russia,56,5.856,1.232,1.053,0.59,0.327,0.036,0.027
Poland,57,5.835,1.246,1.047,0.691,0.452,0.055,0.144
South Korea,57,5.835,1.359,0.722,0.886,0.252,0.077,0.188
Bolivia,59,5.822,0.794,0.838,0.47,0.51,0.077,0.217
Lithuania,60,5.813,1.269,1.064,0.647,0.189,0.018,0.02
Belarus,61,5.802,1.131,1.05,0.631,0.291,0.175,0.139
North Cyprus,62,5.771,1.311,0.818,0.841,0.436,0.166,0.263
Slovenia,63,5.768,1.299,1.056,0.792,0.532,0.036,0.257
Peru,64,5.743,0.996,0.813,0.63,0.375,0.053,0.145
Turkmenistan,65,5.658,1.08,1.038,0.44,0.374,0.285,0.226
Mauritius,66,5.648,1.144,0.757,0.662,0.461,0.052,0.37
Libya,67,5.615,1.067,0.951,0.523,0.407,0.103,0.171
Latvia,68,5.56,1.218,0.95,0.64,0.28,0.089,0.174
Cyprus,69,5.546,1.319,0.707,0.849,0.295,0.052,0.279
Paraguay,70,5.538,0.894,1.111,0.583,0.462,0.074,0.253
Romania,71,5.528,1.17,0.728,0.676,0.367,0.007,0.129
Estonia,72,5.517,1.28,1.052,0.681,0.415,0.185,0.084
Jamaica,73,5.51,0.893,0.964,0.595,0.436,0.043,0.222
Croatia,74,5.488,1.186,0.608,0.705,0.239,0.04,0.184
Hong Kong,75,5.458,1.511,0.87,0.953,0.481,0.316,0.401
Somalia,76,5.44,0.0,0.336,0.115,0.568,0.312,0.272
Kosovo,77,5.401,0.901,0.661,0.54,0.144,0.065,0.28
Turkey,78,5.389,1.165,0.877,0.647,0.239,0.123,0.047
Indonesia,79,5.314,0.951,0.876,0.494,0.392,0.003,0.565
Jordan,80,5.303,0.997,0.862,0.607,0.36,0.133,0.143
Azerbaijan,81,5.291,1.124,0.76,0.545,0.353,0.179,0.056
Philippines,82,5.279,0.812,0.879,0.47,0.549,0.118,0.217
China,83,5.245,1.028,0.794,0.736,0.44,0.027,0.05
Bhutan,84,5.196,0.853,0.908,0.498,0.461,0.162,0.485
Kyrgyzstan,85,5.185,0.56,0.954,0.554,0.402,0.048,0.384
Serbia,86,5.177,1.034,0.813,0.646,0.157,0.043,0.207
Bosnia and Herzegovina,87,5.163,0.934,0.644,0.708,0.095,0.0,0.299
Montenegro,88,5.161,1.078,0.742,0.635,0.151,0.127,0.172
Dominican Republic,89,5.155,1.028,0.995,0.577,0.523,0.124,0.213
Morocco,90,5.151,0.841,0.386,0.595,0.256,0.084,0.041
Hungary,91,5.145,1.241,0.932,0.676,0.198,0.045,0.099
Pakistan,92,5.132,0.688,0.261,0.403,0.146,0.139,0.312
Lebanon,93,5.129,1.123,0.642,0.762,0.262,0.031,0.237
Portugal,94,5.123,1.276,0.944,0.794,0.447,0.015,0.117
Macedonia,95,5.121,1.019,0.782,0.647,0.277,0.07,0.235
Vietnam,96,5.061,0.74,0.791,0.662,0.56,0.116,0.251
Somaliland Region,97,5.057,0.256,0.759,0.331,0.391,0.368,0.515
Tunisia,98,5.045,0.977,0.432,0.596,0.236,0.082,0.039
Greece,99,5.033,1.249,0.755,0.8,0.058,0.041,0.0
Tajikistan,100,4.996,0.488,0.756,0.531,0.434,0.135,0.26
Mongolia,101,4.907,0.989,1.09,0.555,0.36,0.033,0.345
Laos,102,4.876,0.68,0.55,0.383,0.522,0.224,0.431
Nigeria,103,4.875,0.752,0.645,0.051,0.279,0.03,0.232
Honduras,104,4.871,0.694,0.756,0.584,0.268,0.069,0.204
Iran,105,4.813,1.118,0.389,0.642,0.225,0.056,0.385
Zambia,106,4.795,0.612,0.638,0.236,0.427,0.115,0.179
Nepal,107,4.793,0.446,0.697,0.501,0.37,0.07,0.382
Palestinian Territories,108,4.754,0.67,0.716,0.568,0.177,0.106,0.112
Albania,109,4.655,0.955,0.502,0.73,0.319,0.053,0.168
Bangladesh,110,4.643,0.542,0.247,0.53,0.398,0.126,0.191
Sierra Leone,111,4.635,0.365,0.628,0.0,0.307,0.082,0.239
Iraq,112,4.575,1.075,0.592,0.511,0.249,0.136,0.196
Namibia,113,4.574,0.933,0.704,0.347,0.486,0.104,0.078
Cameroon,114,4.513,0.525,0.625,0.127,0.427,0.061,0.227
Ethiopia,115,4.508,0.293,0.379,0.346,0.367,0.172,0.295
South Africa,116,4.459,1.024,0.961,0.186,0.425,0.084,0.137
Sri Lanka,117,4.415,0.973,0.848,0.62,0.508,0.08,0.47
India,118,4.404,0.74,0.292,0.451,0.403,0.087,0.25
Myanmar,119,4.395,0.341,0.7,0.399,0.427,0.202,0.82
Egypt,120,4.362,0.954,0.498,0.521,0.188,0.104,0.127
Armenia,121,4.36,0.861,0.625,0.641,0.14,0.036,0.078
Kenya,122,4.356,0.523,0.762,0.301,0.406,0.067,0.413
Ukraine,123,4.324,0.873,1.014,0.586,0.129,0.018,0.204
Ghana,124,4.276,0.631,0.494,0.297,0.41,0.033,0.212
Congo (Kinshasa),125,4.272,0.057,0.807,0.188,0.156,0.061,0.255
Georgia,126,4.252,0.838,0.192,0.64,0.325,0.319,0.068
Congo (Brazzaville),127,4.236,0.771,0.478,0.282,0.379,0.098,0.121
Senegal,128,4.219,0.443,0.774,0.405,0.311,0.117,0.191
Bulgaria,129,4.217,1.113,0.925,0.678,0.212,0.006,0.128
Mauritania,130,4.201,0.614,0.841,0.286,0.127,0.18,0.227
Zimbabwe,131,4.193,0.35,0.715,0.16,0.254,0.086,0.185
Malawi,132,4.156,0.087,0.147,0.294,0.414,0.076,0.31
Sudan,133,4.139,0.631,0.819,0.298,0.0,0.1,0.181
Gabon,134,4.121,1.159,0.724,0.349,0.281,0.093,0.062
Mali,135,4.073,0.313,0.863,0.163,0.275,0.136,0.211
Haiti,136,4.028,0.341,0.296,0.275,0.121,0.145,0.48
Botswana,137,3.974,1.094,0.892,0.348,0.441,0.108,0.124
Comoros,138,3.956,0.275,0.603,0.3,0.154,0.184,0.183
Ivory Coast,139,3.916,0.555,0.576,0.045,0.407,0.155,0.203
Cambodia,140,3.907,0.556,0.538,0.425,0.589,0.081,0.403
Angola,141,3.866,0.847,0.664,0.05,0.006,0.084,0.121
Niger,142,3.856,0.133,0.605,0.262,0.38,0.172,0.21
South Sudan,143,3.832,0.394,0.185,0.158,0.197,0.13,0.259
Chad,144,3.763,0.422,0.632,0.038,0.128,0.05,0.187
Burkina Faso,145,3.739,0.32,0.631,0.213,0.334,0.125,0.244
Uganda,145,3.739,0.347,0.91,0.196,0.437,0.064,0.271
Yemen,147,3.724,0.579,0.475,0.31,0.229,0.059,0.098
Madagascar,148,3.695,0.28,0.461,0.371,0.137,0.075,0.22
Tanzania,149,3.666,0.472,0.776,0.357,0.318,0.051,0.315
Liberia,150,3.622,0.107,0.504,0.232,0.257,0.049,0.241
Guinea,151,3.607,0.224,0.311,0.188,0.31,0.119,0.299
Rwanda,152,3.515,0.328,0.616,0.319,0.543,0.505,0.236
Benin,153,3.484,0.395,0.104,0.21,0.397,0.067,0.202
